Dye concentration (mgL-1),Catalyst dosage (mg),Time (min),Adsorption capacity (%),pH value,Temperature(Celcius)
20,15,10,72.82685,7,25
20,15,20,80.46062,7,25
20,15,30,83.13454,7,25
20,15,40,84.71004,7,25
20,15,50,85.97948,7,25
20,15,60,87.23183,7,25
20,20,10,79.47536,7,25
20,20,20,86.6359,7,25
20,20,30,88.72378,7,25
20,20,40,90.40335,7,25
20,20,50,91.595,7,25
20,20,60,92.55394,7,25
20,25,10,88.26581,7,25
20,25,20,89.70919,7,25
20,25,30,90.99353,7,25
20,25,40,93.00874,7,25
20,25,50,94.58706,7,25
20,25,60,94.9673,7,25
20,30,10,94.60191,7,25
20,30,20,96.52931,7,25
20,30,30,96.08207,7,25
20,30,40,95.96125,7,25
20,30,50,96.69925,7,25
20,30,60,96.9534,7,25
30,15,10,60.00718,7,25
30,15,20,65.37181,7,25
30,15,30,68.20444,7,25
30,15,40,70.22506,7,25
30,15,50,72.613,7,25
30,15,60,75.01119,7,25
30,20,10,72.02024,7,25
30,20,20,76.7162,7,25
30,20,30,80.50312,7,25
30,20,40,82.45246,7,25
30,20,50,84.59026,7,25
30,20,60,86.26467,7,25
30,25,10,77.48092,7,25
30,25,20,83.74232,7,25
30,25,30,87.31828,7,25
30,25,40,90.50205,7,25
30,25,50,92.61868,7,25
30,25,60,93.6408,7,25
30,30,10,75.29425,7,25
30,30,20,82.20327,7,25
30,30,30,89.19746,7,25
30,30,40,92.00141,7,25
30,30,50,93.45323,7,25
30,30,60,94.30484,7,25
40,20,10,63.33274,7,25
40,20,20,67.60174,7,25
40,20,30,72.12931,7,25
40,20,40,77.73127,7,25
40,20,50,84.00052,7,25
40,20,60,88.43204,7,25
40,25,10,59.73947,7,25
40,25,20,68.32664,7,25
40,25,30,81.83968,7,25
40,25,40,90.60635,7,25
40,25,50,93.54759,7,25
40,25,60,94.76178,7,25
40,30,10,62.86904,7,25
40,30,20,73.28441,7,25
40,30,30,88.03525,7,25
40,30,40,92.4567,7,25
40,30,50,94.59063,7,25
40,30,60,95.38782,7,25
50,20,10,52.29519,7,25
50,20,20,55.07581,7,25
50,20,30,58.14266,7,25
50,20,40,60.91897,7,25
50,20,50,69.75786,7,25
50,20,60,78.84421,7,25
50,25,10,66.49892,7,25
50,25,20,72.80115,7,25
50,25,30,83.18504,7,25
50,25,40,90.40544,7,25
50,25,50,92.90952,7,25
50,25,60,94.08205,7,25
50,30,10,82.88746551,7,25
50,30,20,87.54544599,7,25
50,30,30,92.42273898,7,25
50,30,40,95.30396116,7,25
50,30,50,96.02157457,7,25
50,30,60,96.49427242,7,25
50,30,10,78.85231937,3,25
50,30,20,89.73244883,3,25
50,30,30,93.35470325,3,25
50,30,40,94.78681672,3,25
50,30,50,95.25451949,3,25
50,30,60,95.40883278,3,25
50,30,10,84.71397913,5,25
50,30,20,91.75698026,5,25
50,30,30,94.14293196,5,25
50,30,40,94.7404269,5,25
50,30,50,95.57094,5,25
50,30,60,95.55035,5,25
50,30,10,90.88668466,9,25
50,30,20,94.34426254,9,25
50,30,30,96.05581611,9,25
50,30,40,96.17453656,9,25
50,30,50,95.97513224,9,25
50,30,60,96.03680969,9,25
50,30,10,93.82141,11,25
50,30,20,97.26233,11,25
50,30,30,97.64827,11,25
50,30,40,97.54448014,11,25
50,30,50,97.46311081,11,25
50,30,60,97.30381997,11,25
50,30,10,91.71133,7,35
50,30,20,92.24723,7,35
50,30,30,93.46195,7,35
50,30,40,94.06931,7,35
50,30,50,94.3194,7,35
50,30,60,94.56949,7,35
50,30,10,84.70503,7,45
50,30,20,87.10852,7,45
50,30,30,88.63802,7,45
50,30,40,89.6941,7,45
50,30,50,91.62418,7,45
50,30,60,92.49818,7,45
,,,,,
